"Key","English, en-US","Puerto Rico, es-PR"
"ccField","CC","CC"
"closeContactBtn","Close Contact","Contacto Cercano"
"contactInformation","Contact Information","Información del contacto"
"noTemplatesAvailable","There are no templates available","No hay plantillas disponibles."
"notes","Notes","Notas"
"placeholder","Placeholder","Marcador de posición"
"sendEmail","Send Email","Enviar correo electrónico"
"sendEmailWithNotes","Send Email With Notes","Enviar correo electrónico con notas"
"sendEmailWithoutNotes","Send Email Without Notes","Enviar correo electrónico sin notas"
"toField","To","A"
"toggleContactCompleted","Toggle to verify contact completed via phone/voicemail and email","Alternar para verificar el contacto completado por teléfono / correo de voz y correo electrónico"
